session_id,client_id,timestamp,duration_sec,action,device_os
100001,1,2024-01-03 17:47,44,check_balance,iOS
100000,1,2024-01-03 19:22,78,payment_authorization,Android
100002,1,2024-01-04 11:35,70,payment_authorization,iOS
100003,1,2024-01-06 20:36,133,payment_authorization,iOS
100004,1,2024-01-09 07:42,137,payment_authorization,Android
100005,1,2024-01-10 20:06,63,payment_authorization,Android
100006,1,2024-01-20 21:32,48,payment_authorization,iOS
100007,1,2024-01-21 17:04,102,payment_authorization,iOS
100008,1,2024-01-24 10:42,171,payment_authorization,Android
100009,1,2024-01-25 08:54,171,payment_authorization,iOS
100010,1,2024-01-25 19:21,23,check_balance,Android
100011,1,2024-01-29 15:48,138,payment_authorization,Android
100012,1,2024-01-29 20:08,50,check_balance,Android
100013,1,2024-02-04 16:52,49,payment_authorization,iOS
100014,1,2024-02-04 18:55,108,payment_authorization,Android
100015,1,2024-02-11 22:00,120,payment_authorization,Android
100016,1,2024-02-12 12:32,135,payment_authorization,iOS
100017,1,2024-02-12 20:59,36,check_balance,iOS
100018,1,2024-02-15 07:45,150,payment_authorization,iOS
100019,1,2024-02-15 13:19,60,check_balance,iOS
100020,1,2024-02-21 13:06,47,payment_authorization,Android
100021,1,2024-02-25 07:35,37,payment_authorization,iOS
100022,1,2024-02-25 12:31,57,payment_authorization,Android
100024,1,2024-02-29 08:33,44,check_balance,iOS
100023,1,2024-02-29 15:28,177,payment_authorization,iOS
100025,1,2024-03-02 14:55,106,payment_authorization,Android
100026,1,2024-03-03 11:06,137,payment_authorization,Android
100028,1,2024-03-06 15:28,38,check_balance,iOS
100027,1,2024-03-06 15:32,107,payment_authorization,Android
100030,1,2024-03-10 18:19,24,check_balance,iOS
100029,1,2024-03-10 19:41,102,payment_authorization,Android
100031,1,2024-03-19 09:00,48,payment_authorization,Android
100032,1,2024-03-21 18:24,92,payment_authorization,iOS
100033,1,2024-03-22 22:31,86,payment_authorization,iOS
100034,1,2024-03-24 22:48,64,payment_authorization,Android
100035,1,2024-03-27 16:10,159,payment_authorization,Android
100036,1,2024-03-28 20:09,96,payment_authorization,iOS
100037,1,2024-03-30 13:42,142,payment_authorization,iOS
100038,1,2024-04-03 08:53,89,payment_authorization,Android
100040,1,2024-04-05 14:57,59,check_balance,iOS
100039,1,2024-04-05 22:11,136,payment_authorization,iOS
100041,1,2024-04-08 07:01,129,payment_authorization,Android
100042,1,2024-04-08 14:02,99,payment_authorization,Android
100043,1,2024-04-08 15:40,149,payment_authorization,iOS
100044,1,2024-04-11 07:36,51,payment_authorization,Android
100046,1,2024-04-11 09:29,137,payment_authorization,Android
100045,1,2024-04-11 10:03,26,check_balance,Android
100047,1,2024-04-14 13:04,47,payment_authorization,iOS
100048,1,2024-04-16 13:32,62,payment_authorization,Android
100049,1,2024-04-18 14:34,72,payment_authorization,iOS
100050,1,2024-04-23 08:11,177,payment_authorization,Android
100051,1,2024-04-26 22:50,107,payment_authorization,iOS
100052,1,2024-04-29 21:04,47,payment_authorization,Android
100053,1,2024-04-29 21:31,16,check_balance,Android
100054,1,2024-05-04 20:20,163,payment_authorization,Android
100055,1,2024-05-06 15:26,112,payment_authorization,iOS
100057,1,2024-05-07 10:31,23,check_balance,Android
100056,1,2024-05-07 13:29,127,payment_authorization,Android
100059,1,2024-05-13 15:35,58,check_balance,iOS
100058,1,2024-05-13 17:46,32,payment_authorization,iOS
100060,1,2024-05-14 20:28,105,payment_authorization,iOS
100061,1,2024-05-15 11:22,165,payment_authorization,Android
100062,1,2024-05-21 10:00,94,payment_authorization,iOS
100063,1,2024-05-21 13:07,57,check_balance,iOS
100064,1,2024-05-28 08:38,102,payment_authorization,iOS
100065,1,2024-05-28 10:10,62,payment_authorization,Android
100066,1,2024-05-28 16:18,54,check_balance,iOS
100067,1,2024-06-01 19:12,117,payment_authorization,iOS
100068,1,2024-06-02 12:20,155,payment_authorization,iOS
100069,1,2024-06-07 19:56,93,payment_authorization,iOS
100070,1,2024-06-08 09:23,127,payment_authorization,Android
100071,1,2024-06-14 22:25,45,payment_authorization,iOS
100072,1,2024-06-21 07:03,91,payment_authorization,iOS
100073,1,2024-06-26 09:59,104,payment_authorization,iOS
100074,1,2024-06-26 19:55,39,check_balance,iOS
100075,1,2024-06-30 14:06,59,payment_authorization,iOS
100076,1,2024-06-30 21:15,175,payment_authorization,Android
100077,1,2024-07-02 12:28,157,payment_authorization,Android
100080,1,2024-07-02 14:12,48,check_balance,iOS
100079,1,2024-07-02 15:15,39,check_balance,iOS
100078,1,2024-07-02 19:17,36,check_balance,Android
100081,1,2024-07-02 21:04,27,check_balance,Android
100082,1,2024-07-03 08:51,178,payment_authorization,Android
100084,1,2024-07-03 13:35,58,check_balance,Android
100083,1,2024-07-03 15:34,40,check_balance,Android
100085,1,2024-07-08 07:44,89,payment_authorization,Android
100086,1,2024-07-08 13:47,40,check_balance,Android
100087,1,2024-07-08 14:42,60,check_balance,iOS
100088,1,2024-07-09 07:01,55,payment_authorization,Android
100092,1,2024-07-09 08:39,14,check_balance,iOS
100090,1,2024-07-09 09:30,60,check_balance,Android
100091,1,2024-07-09 12:33,111,payment_authorization,Android
100093,1,2024-07-09 18:43,28,check_balance,iOS
100094,1,2024-07-09 19:05,37,check_balance,iOS
100089,1,2024-07-09 19:09,36,check_balance,iOS
100095,1,2024-07-09 20:40,55,check_balance,iOS
100099,1,2024-07-13 10:11,15,check_balance,Android
100097,1,2024-07-13 10:15,43,check_balance,Android
100096,1,2024-07-13 15:29,121,payment_authorization,Android
100098,1,2024-07-13 17:43,60,check_balance,iOS
100108,1,2024-07-14 08:36,53,check_balance,iOS
